cleanedContent,content_length,hashtags,sentiment_score,num_links_TextLink,num_media_Video,num_media_Photo,num_media_Gif,likeCount,quoteCount,part_of_convo
,0.1571428571428571,,0.0,1,0,0,0,0,0,False
" can keep on building something special in SG for many more yrs and let's achieve happiness, prosperity and progress for our nation",1.0,ndrsg,0.8442,0,0,0,0,16,1,False
Visited my residents tonight. Always thankful to have translators so I can engage with the residents better.  ,1.0,masagos,0.8511,0,0,1,0,1,0,False
"1. Electoral boundary changes that don't make sense, that Marine Parade and MacPherson have undergone through the years ",0.9071428571428573,votewp,0.0,0,0,0,0,1,0,False
Deputy PM & Minister for Home Affairs Teo Chee Hean greeting the Interpol family in Lyon with Sec-Gen Ron Noble. ,0.9642857142857144,,0.6808,0,0,1,0,0,0,False
Dennis: Is the PAP afraid of losing more seats...Lee Hsien Loong has no confidence in his team mates?,0.7214285714285714,,-0.128,0,0,0,0,1,0,False
"""...a kind sponsor is dedicating a table to our nurses to thank them for caring for the sick. All Singaporean... ",0.9642857142857144,,0.7003,1,0,0,0,0,0,False
"Choong Yong: Instead of listening to residents, Dr Lam spent his time trying to explain to residents why they have to accept the situation.",0.9928571428571428,,0.3818,0,0,0,0,3,0,False
Doubt will become that scary @miyagi. @VivianBala made a clarification on this issue earlier today ,0.8642857142857143,,-0.6908,1,0,0,0,0,0,True
"East Coast and Fengshan, we're ready for you! Starting the rally is our candidate for Jalan Besar GRC, Frieda Chan. ",0.9857142857142858,,0.4199,0,0,1,0,0,0,False
15minutes to saying the pledge as one!       ,0.7714285714285715,pledgesg pledgemoment ndpeeps ndp2013 nationalday onesingapore,0.0,0,0,0,0,1,0,False
ST: Workers' Party welcomes scrutiny of its manifesto (13 Apr 11)     ,0.85,sgelections wp wpsg wpge2011,0.6597,0,0,0,0,0,0,False
Happening at 10am: Join us on Facebook LIVE for the launch of our Party Manifesto. Tune in on FB here:  Watch it on Youtube (with sign language) here:  ,0.7321428571428571,ge2020,0.5994,2,5,0,0,81,2,False
"Minister of Foreign Affairs Dr Vivian Balakrishnan said that Covid-19 is likely to be the defining crisis of our generation, but the greatest advantage we have in Singapore is trust and our Government can respond decisively.",0.8821428571428571,,0.9042,1,0,0,0,9,0,False
Launch of Workers’ Party Campaign Slogan and Manifesto 9/4/11    ,0.75,wpsg wp sgelections,0.4019,0,0,0,0,0,0,False
,0.1571428571428571,,0.0,1,0,0,0,0,0,False
"SPEECH BY MISS   AT THE LAUNCH OF THE SSC-SMU LEADERSHIP SYMPOSIUM ON MONDAY, 27 MAY 2013 ",0.8714285714285714,indranee,-0.3254,1,0,0,0,0,0,False
"Now, he introduces He Ting Ru, sharing how she spent a lot of time volunteering in spite of her busy schedule as a young lawyer ",0.95,wpsg,-0.1531,0,0,0,0,2,0,False
"Fulfilling the mission of building a fair and just society, the PAP is guided by its founding ideals, the four core values that remain constant through the years.This 4-part video series will take a look at how far the Party has come to uphold these values for the past 65 years ",0.9964285714285714,,0.8807,0,4,0,0,30,0,False
   ,0.3928571428571428,wpsg ge2015 empoweryourfuture,0.0,0,0,1,0,9,0,False
"PM Lee helping some kids from Teck Ghee finish up a mural, at the Teck Ghee FAB! (Familiarisation and Bonding)... ",0.9714285714285714,,0.7371,1,0,0,0,0,0,False
"21 November 2015 - 61 years of working with you, for you and for Singapore!    ",0.8071428571428572,pap4sg pap,0.0,1,0,1,0,17,0,False
MP Png Eng Huat's speech on the Environmental Public Health (Amendment) Bill ,0.7071428571428572,,0.0,1,0,0,0,6,0,False
