index,date,rawContent,retweetCount,likeCount,quoteCount,mentionedUsers,hashtags,links,media,inReplyToTweetId,inReplyToUser,retweetedTweet,account,lang,cleanedContent,num_links_TextLink,num_media_Video,num_media_Photo,num_media_Gif,part_of_convo,content_length,word_count,sentiment_score
0,2021-09-19 04:30:00,"What action will you take for her?

#ActionForHer is our invitation to you to stand with our women in Singapore. Together we can empower women to live out their fullest potential and pursue what they want in life.   

Make a difference today at https://t.co/2Ywp24UUTM

#PAP4SG https://t.co/9t2Z9NUopb",19,113,6,,actionforher pap4sg,"[TextLink(text='actionforher.sg', url='http://www.actionforher.sg', tcourl='https://t.co/2Ywp24UUTM', indices=(245, 268))]","[Video(thumbnailUrl='https://pbs.twimg.com/media/E_nk22iVcAYePib.jpg', variants=[VideoVariant(url='https://video.twimg.com/amplify_video/1439432543808360449/pl/NbfJA0Py6hOI78A0.m3u8?tag=14', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/amplify_video/1439432543808360449/vid/480x270/pRUT9x8fiHlbsTis.mp4?tag=14', contentType='video/mp4', bitrate=288000), VideoVariant(url='https://video.twimg.com/amplify_video/1439432543808360449/vid/640x360/UwWKJw1YSp4JGMoV.mp4?tag=14', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/amplify_video/1439432543808360449/vid/1280x720/-7S0zePsXEoHKjqm.mp4?tag=14', contentType='video/mp4', bitrate=2176000)], duration=62.0, views=7854, altText=None)]",,,,pap,en,What action will you take for her? is our invitation to you to stand with our women in Singapore. Together we can empower women to live out their fullest potential and pursue what they want in life.   Make a difference today at  ,1,5,0,0,False,0.9714285714285714,46,0.0772
1,2021-09-16 09:30:00,"Go-getter Mavis has no qualms in tailoring her career to match her passions, challenging stereotypes to be at the forefront and break new grounds. When it comes to making choices in life, she echoed MP Yeo Wan Ling’s perspective that there is no one-size-fits-all. 

#PAP4SG https://t.co/FXFiZxyfu4",11,35,1,,pap4sg,,"[Video(thumbnailUrl='https://pbs.twimg.com/media/E_YNLC8VQAAYb0Y.jpg', variants=[VideoVariant(url='https://video.twimg.com/amplify_video/1438348428468109319/vid/1280x720/f3xnpwJA4AGRYaBL.mp4?tag=14', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/amplify_video/1438348428468109319/pl/lnYPym-yNBOVbCI1.m3u8?tag=14', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/amplify_video/1438348428468109319/vid/640x360/zZWWzqpyvClnVINL.mp4?tag=14', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/amplify_video/1438348428468109319/vid/480x270/0C_hOhjE8IIian0-.mp4?tag=14', contentType='video/mp4', bitrate=288000)], duration=240.0, views=2050, altText=None)]",,,,pap,en,"Go-getter Mavis has no qualms in tailoring her career to match her passions, challenging stereotypes to be at the forefront and break new grounds. When it comes to making choices in life, she echoed MP Yeo Wan Ling’s perspective that there is no one-size-fits-all.  ",0,5,0,0,False,0.975,46,0.1027
3,2021-09-08 12:34:33,"We believe that women in Singapore must be empowered to live their fullest potential. Just as MP Poh Li San shared in her meeting with former competitor runner, Lossini Jeyapandiyen, we must not let other people put a limit to the goals our women in Singapore have.   

#PAP4SG https://t.co/LvokkgIJFO",3,32,2,,pap4sg,,"[Video(thumbnailUrl='https://pbs.twimg.com/media/E-w2LEuVcAQkp0V.jpg', variants=[VideoVariant(url='https://video.twimg.com/amplify_video/1435577208622370817/pl/eEk5UfI0o_2fUL2o.m3u8?tag=14', contentType='application/x-mpegURL', bitrate=None), VideoVariant(url='https://video.twimg.com/amplify_video/1435577208622370817/vid/640x360/wh4J_E0PYu_Qsh2-.mp4?tag=14', contentType='video/mp4', bitrate=832000), VideoVariant(url='https://video.twimg.com/amplify_video/1435577208622370817/vid/1280x720/3UaTXsZ7KA7Jf_oS.mp4?tag=14', contentType='video/mp4', bitrate=2176000), VideoVariant(url='https://video.twimg.com/amplify_video/1435577208622370817/vid/480x270/w2CTkhzXll6eC50G.mp4?tag=14', contentType='video/mp4', bitrate=288000)], duration=157.88, views=1806, altText=None)]",,,,pap,en,"We believe that women in Singapore must be empowered to live their fullest potential. Just as MP Poh Li San shared in her meeting with former competitor runner, Lossini Jeyapandiyen, we must not let other people put a limit to the goals our women in Singapore have.    ",0,5,0,0,False,0.9857142857142858,51,0.34
4,2021-03-01 11:35:52,"Our MPs submitted &gt;400 cuts to scrutinise the proposed expenditure for #SGBudget2021. 

Over the next few days, they will be raising concerns and proposals on diverse topics to ensure that Singapore remains a sustainable city with opportunities for all. 

https://t.co/7ykMedIigW",4,24,0,,sgbudget2021,"[TextLink(text='pap.org.sg/news/pap-mps-a…', url='https://www.pap.org.sg/news/pap-mps-addressed-concerns-of-singaporeans-during-budget-debate/', tcourl='https://t.co/7ykMedIigW', indices=(259, 282))]",,,,,pap,en,"Our MPs submitted >400 cuts to scrutinise the proposed expenditure for  Over the next few days, they will be raising concerns and proposals on diverse topics to ensure that Singapore remains a sustainable city with opportunities for all. ",1,0,0,0,False,0.9821428571428571,40,0.4588
5,2021-01-29 12:07:38,"We hear you.

Our PAP MPs have filed a motion to accelerate and deepen efforts to combat climate change. 

They will be speaking in Parliament on 1st February 2021.

Tune in to the livestream on MCI's YouTube channel.

More at https://t.co/bpZ7bOgPb4

#PAP4Sustainablity #GreenSG",3,28,2,,pap4sustainablity greensg,"[TextLink(text='tiny.cc/reibtz', url='http://tiny.cc/reibtz', tcourl='https://t.co/bpZ7bOgPb4', indices=(227, 250))]",,,,,pap,en,We hear you.Our PAP MPs have filed a motion to accelerate and deepen efforts to combat climate change. They will be speaking in Parliament on 1st February 2021.Tune in to the livestream on MCI's YouTube channel.More at  ,1,0,0,0,False,0.9607142857142857,39,-0.34
6,2020-12-31 04:05:32,"As we step into the new year, we renew our commitment to ensure that no one gets left behind as we navigate this new normal for us all.

Wishing all a Happy New Year 🥳

#PAP4SG #TeamPAP

👉 https://t.co/OwSjn0Mwid https://t.co/xj1G6OclN8",0,42,0,,pap4sg teampap,"[TextLink(text='instagram.com/p/CJcevSErpNh', url='https://www.instagram.com/p/CJcevSErpNh', tcourl='https://t.co/OwSjn0Mwid', indices=(189, 212))]","[Photo(previewUrl='https://pbs.twimg.com/media/Eqia9lBVkAAsshJ?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Eqia9lBVkAAsshJ?format=jpg&name=orig', altText=None)]",,,,pap,en,"As we step into the new year, we renew our commitment to ensure that no one gets left behind as we navigate this new normal for us all.Wishing all a Happy New Year 🥳   ",1,0,1,0,False,0.7392857142857143,37,0.7717
7,2020-10-15 08:23:02,"Helping workers is part of the DNA of PAP, the government and the labour movement. 

SMS Koh Poh Koon spoke in Parliament on the direction for the new tripartite workgroup on lower-wage workers. https://t.co/i1NkyLOCjm",3,21,1,,,,"[Photo(previewUrl='https://pbs.twimg.com/media/EkWxxRuVcAAF0qD?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EkWxxRuVcAAF0qD?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/EkWxxRuUwAMu3Lh?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EkWxxRuUwAMu3Lh?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/EkWxxSjUwAAQQG2?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/EkWxxSjUwAAQQG2?format=jpg&name=orig', altText=None)]",,,,pap,en,"Helping workers is part of the DNA of PAP, the government and the labour movement. SMS Koh Poh Koon spoke in Parliament on the direction for the new tripartite workgroup on lower-wage workers. ",0,0,3,0,False,0.6892857142857143,34,0.296
8,2020-09-02 09:51:36,"PM @leehsienloong spoke about the fight against COVID-19, the future of our economy and employment landscape, and the sort of politics he wishes to see.

Read more at: https://t.co/CmB4XWeAfS https://t.co/Y4I8Hq6Z8d",2,18,0,"[User(username='leehsienloong', id=34568673, displayname='leehsienloong', rawDescription=None, renderedDescription=None, descriptionLinks=None, verified=None, created=None, followersCount=None, friendsCount=None, statusesCount=None, favouritesCount=None, listedCount=None, mediaCount=None, location=None, protected=None, link=None, profileImageUrl=None, profileBannerUrl=None, label=None)]",,"[TextLink(text='tiny.cc/dnarsz', url='http://tiny.cc/dnarsz', tcourl='https://t.co/CmB4XWeAfS', indices=(168, 191))]","[Photo(previewUrl='https://pbs.twimg.com/media/Eg5rYsXU4AAPmPi?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Eg5rYsXU4AAPmPi?format=jpg&name=orig', altText=None)]",,,,pap,en,"PM @leehsienloong spoke about the fight against COVID-19, the future of our economy and employment landscape, and the sort of politics he wishes to see.Read more at:  ",1,0,1,0,False,0.6785714285714286,29,-0.25
9,2020-08-24 10:39:23,"The 14th Parliament is swearing in this evening, follow us on our Instagram stories for more!

See you there!

https://t.co/XbY78YDGlJ",2,11,0,,,"[TextLink(text='instagram.com/papsingapore', url='https://instagram.com/papsingapore', tcourl='https://t.co/XbY78YDGlJ', indices=(111, 134))]",,,,,pap,en,"The 14th Parliament is swearing in this evening, follow us on our Instagram stories for more!See you there!",1,0,0,0,False,0.4642857142857143,18,-0.3786
10,2020-08-09 06:45:00,"This year’s National Day Message includes a tribute to our everyday heroes amid the nation’s battle against Covid-19. 

Read the full message at: https://t.co/kohCWHXKt0 https://t.co/ZoxGnHqeCO",12,29,2,,,"[TextLink(text='pmo.gov.sg/Newsroom', url='https://www.pmo.gov.sg/Newsroom', tcourl='https://t.co/kohCWHXKt0', indices=(146, 169))]","[Photo(previewUrl='https://pbs.twimg.com/media/Ee9WNNtUEAE0UgG?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Ee9WNNtUEAE0UgG?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/Ee9WNN3U0AAXIgi?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Ee9WNN3U0AAXIgi?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/Ee9WNOjUYAEbD7g?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Ee9WNOjUYAEbD7g?format=jpg&name=orig', altText=None), Photo(previewUrl='https://pbs.twimg.com/media/Ee9WNO9UMAE0ECC?format=jpg&name=small', fullUrl='https://pbs.twimg.com/media/Ee9WNO9UMAE0ECC?format=jpg&name=orig', altText=None)]",,,,pap,en,This year’s National Day Message includes a tribute to our everyday heroes amid the nation’s battle against Covid-19. Read the full message at:  ,1,0,4,0,False,0.6,25,0.1779
